510,265,289,303.33,9.06,276,281.0,4.15,279,282.17,5.28,277,282.5,4.53,278,282.33,4.91,274,279.67,3.4
61,138,152,165.2,10.14,141,144.9,2.17,144,148.18,4.35,144,148.64,4.35,146,148.18,5.8,146,148.45,5.8
62,146,170,196.17,16.44,157,159.83,7.53,158,159.83,8.22,157,159.17,7.53,155,158.0,6.16,156,158.5,6.85
63,145,156,179.75,7.59,149,151.33,2.76,150,151.67,3.45,151,151.83,4.14,150,151.67,3.45,149,151.4,2.76
64,131,139,155.25,6.11,135,136.33,3.05,136,136.17,3.82,134,135.67,2.29,135,136.2,3.05,135,136.33,3.05
65,161,193,215.25,19.88,177,183.17,9.94,178,183.67,10.56,182,183.67,13.04,179,183.17,11.18,179,182.83,11.18
a1,253,286,302.8,13.04,262,266.1,3.56,268,269.55,5.93,267,269.09,5.53,266,268.36,5.14,265,269.09,4.74
a2,252,289,304.2,14.68,271,273.83,7.54,272,273.67,7.94,273,275.0,8.33,271,272.83,7.54,271,274.6,7.54
a3,232,266,283.44,14.66,245,248.6,5.6,246,249.0,6.03,249,252.0,7.33,251,251.33,8.19,246,250.17,6.03
a4,234,271,289.3,15.81,250,253.0,6.84,248,253.6,5.98,249,252.2,6.41,250,252.2,6.84,247,252.33,5.56
a5,236,266,286.86,12.71,249,250.67,5.51,248,252.83,5.08,245,250.33,3.81,247,251.5,4.66,248,250.33,5.08
b1,69,81,108.6,17.39,71,71.7,2.9,72,72.73,4.35,72,73.0,4.35,72,72.64,4.35,72,72.91,4.35
b2,76,93,110.33,22.37,78,80.33,2.63,80,82.0,5.26,80,81.5,5.26,78,80.67,2.63,81,81.67,6.58
b3,80,90,117.08,12.5,82,83.33,2.5,83,83.83,3.75,82,83.67,2.5,82,84.0,2.5,82,84.0,2.5
b4,79,96,116.42,21.52,83,84.0,5.06,83,84.83,5.06,82,84.33,3.8,83,84.83,5.06,84,84.83,6.33
b5,72,83,104.09,15.28,74,75.0,2.78,75,75.33,4.17,74,74.83,2.78,74,75.0,2.78,74,74.83,2.78
c1,227,269,302.8,18.5,243,245.09,7.05,246,251.91,8.37,244,248.82,7.49,239,250.67,5.29,244,250.55,7.49
c2,219,264,284.0,20.55,235,242.5,7.31,241,244.17,10.05,241,243.33,10.05,236,241.8,7.76,241,244.0,10.05
c3,243,273,306.25,12.35,261,263.17,7.41,259,263.17,6.58,260,262.8,7.0,259,262.83,6.58,256,263.17,5.35
c4,219,251,280.67,14.61,236,237.0,7.76,233,235.83,6.39,236,237.83,7.76,234,236.67,6.85,236,237.17,7.76
c5,215,239,271.17,11.16,228,232.33,6.05,233,234.33,8.37,232,233.83,7.91,227,231.83,5.58,231,234.0,7.44
d1,60,89,93.2,48.33,63,64.56,5.0,65,66.18,8.33,65,66.18,8.33,65,65.91,8.33,65,66.27,8.33
d2,66,81,105.83,22.73,69,70.33,4.55,69,69.5,4.55,69,69.8,4.55,69,70.0,4.55,68,69.83,3.03
d3,72,81,109.75,12.5,78,78.67,8.33,78,79.0,8.33,78,79.0,8.33,78,79.33,8.33,79,79.33,9.72
d4,62,68,91.42,9.68,63,64.0,1.61,63,64.5,1.61,63,63.83,1.61,64,64.4,3.23,64,64.6,3.23
